"dataset","field","units","description"
"phabmet","RVFPUNDNONW",NA,"riparian zone and vegetation: fraction of understory with nonwoody cover present"
"phabmet","RVFPUNDNONW_DD",NA,"riparian zone and vegetation: fraction of understory with nonwoody cover present in the drawdown zone"
"phabmet","RVFPUNDNONW_RIP",NA,"riparian zone and vegetation: fraction of understory with nonwoody cover present in the riparian zone"
"phabmet","RVFPUNDNONW_SYN",NA,"riparian zone and vegetation: fraction of understory with nonwoody cover present synthesizing the 2007 protocol"
"phabmet","RVFPUNDWOODY",NA,"riparian zone and vegetation: fraction of understory with nonwoody cover present"
"phabmet","RVFPUNDWOODY_DD",NA,"riparian zone and vegetation: fraction of understory with nonwoody cover present in the drawdown zone"
"phabmet","RVFPUNDWOODY_RIP",NA,"riparian zone and vegetation: fraction of understory with nonwoody cover present in the riparian zone"
"phabmet","RVFPUNDWOODY_SYN",NA,"riparian zone and vegetation: fraction of understory with nonwoody cover present synthesizing the 2007 protocol"
"phabmet","RVICANOPY",NA,"riparian zone and vegetation: index of total canopy cover"
"phabmet","RVICANOPY_DD",NA,"riparian zone and vegetation: index of total canopy cover  in the drawdown zone"
"phabmet","RVICANOPY_RIP",NA,"riparian zone and vegetation: index of total canopy cover  in the riparian zone"
"phabmet","RVICANOPY_SYN",NA,"riparian zone and vegetation: index of total canopy cover  synthesizing the 2007 protocol"
"phabmet","RVICANUND",NA,"riparian zone and vegetation: index of total canopy and understory cover"
"phabmet","RVICANUND_DD",NA,"riparian zone and vegetation: index of total canopy and understory cover in the drawdown zone"
"phabmet","RVICANUND_RIP",NA,"riparian zone and vegetation: index of total canopy and understory cover in the riparian zone"
"phabmet","RVICANUND_SYN",NA,"riparian zone and vegetation: index of total canopy and understory cover synthesizing the 2007 protocol"
"phabmet","RVIGROUND",NA,"riparian zone and vegetation: index of total ground cover"
"phabmet","RVIGROUND_DD",NA,"riparian zone and vegetation: index of total ground cover in the drawdown zone"
"phabmet","RVIGROUND_RIP",NA,"riparian zone and vegetation: index of total ground cover in the riparian zone"
"phabmet","RVIGROUND_SYN",NA,"riparian zone and vegetation: index of total ground cover synthesizing the 2007 protocol"
"phabmet","RVIHERBS",NA,"riparian zone and vegetation: index of total herbaceous vegatation cover"
"phabmet","RVIHERBS_DD",NA,"riparian zone and vegetation: index of total herbaceous vegatation cover in the drawdown zone"
"phabmet","RVIHERBS_RIP",NA,"riparian zone and vegetation: index of total herbaceous vegatation cover in the riparian zone"
"phabmet","RVIHERBS_SYN",NA,"riparian zone and vegetation: index of total herbaceous vegatation cover synthesizing the 2007 protocol"
"phabmet","RVITALLWOOD",NA,"riparian zone and vegetation: index of canopy and understory woody vegetation cover"
"phabmet","RVITALLWOOD_DD",NA,"riparian zone and vegetation: index of canopy and understory woody vegetation cover in the drawdown zone"
"phabmet","RVITALLWOOD_RIP",NA,"riparian zone and vegetation: index of canopy and understory woody vegetation cover in the riparian zone"
"phabmet","RVITALLWOOD_SYN",NA,"riparian zone and vegetation: index of canopy and understory woody vegetation cover synthesizing the 2007 protocol"
"phabmet","RVITOTALVEG",NA,"riparian zone and vegetation: index of total vegetation cover"
"phabmet","RVITOTALVEG_DD",NA,"riparian zone and vegetation: index of total vegetation cover in the drawdown zone"
"phabmet","RVITOTALVEG_RIP",NA,"riparian zone and vegetation: index of total vegetation cover in the riparian zone"
"phabmet","RVITOTALVEG_SYN",NA,"riparian zone and vegetation: index of total vegetation cover synthesizing the 2007 protocol"
"phabmet","RVIUNDERSTORY",NA,"riparian zone and vegetation: index of total understory cover"
"phabmet","RVIUNDERSTORY_DD",NA,"riparian zone and vegetation: index of total understory cover in the drawdown zone"
"phabmet","RVIUNDERSTORY_RIP",NA,"riparian zone and vegetation: index of total understory cover in the riparian zone"
"phabmet","RVIUNDERSTORY_SYN",NA,"riparian zone and vegetation: index of total understory cover synthesizing the 2007 protocol"
"phabmet","RVIWOODY",NA,"riparian zone and vegetation: index of total woody vegatation cover"
"phabmet","RVIWOODY_DD",NA,"riparian zone and vegetation: index of total woody vegatation cover in the drawdown zone"
"phabmet","RVIWOODY_RIP",NA,"riparian zone and vegetation: index of total woody vegatation cover in the riparian zone"
"phabmet","RVIWOODY_SYN",NA,"riparian zone and vegetation: index of total woody vegatation cover synthesizing the 2007 protocol"
"phabmet","RVNCANBIG",NA,"riparian zone and vegetation: Count of values of canopy cover by trees &gt; 30cm"
"phabmet","RVNCANBIG_DD",NA,"riparian zone and vegetation: Count of values of canopy cover by trees &gt; 30cm in the drawdown zone"
"phabmet","RVNCANBIG_RIP",NA,"riparian zone and vegetation: Count of values of canopy cover by trees &gt; 30cm in the riparian zone"
"phabmet","RVNCANBIG_SYN",NA,"riparian zone and vegetation: Count of values of canopy cover by trees &gt; 30cm synthesizing the 2007 protocol"
"phabmet","RVNCANOPY",NA,"riparian zone and vegetation: number of canopy type data"
"phabmet","RVNCANOPY_DD",NA,"riparian zone and vegetation: number of canopy type data in the drawdown zone"
"phabmet","RVNCANOPY_RIP",NA,"riparian zone and vegetation: number of canopy type data in the riparian zone"
"phabmet","RVNCANSMALL",NA,"riparian zone and vegetation: Count of values of canopy cover by trees &lt; 30 cm"
"phabmet","RVNCANSMALL_DD",NA,"riparian zone and vegetation: Count of values of canopy cover by trees &lt; 30 cm in the drawdown zone"
"phabmet","RVNCANSMALL_RIP",NA,"riparian zone and vegetation: Count of values of canopy cover by trees &lt; 30 cm in the riparian zone"
"phabmet","RVNCANSMALL_SYN",NA,"riparian zone and vegetation: Count of values of canopy cover by trees &lt; 30 cm synthesizing the 2007 protocol"
"phabmet","RVNGNDBARE",NA,"riparian zone and vegetation: count of bare ground values"
"phabmet","RVNGNDBARE_DD",NA,"riparian zone and vegetation: count of bare ground values in the drawdown zone"
"phabmet","RVNGNDBARE_RIP",NA,"riparian zone and vegetation: count of bare ground values in the riparian zone"
"phabmet","RVNGNDBARE_SYN",NA,"riparian zone and vegetation: count of bare ground values synthesizing the 2007 protocol"
"phabmet","RVNGNDINUNDATED",NA,"riparian zone and vegetation: count of ground inundation values"
"phabmet","RVNGNDINUNDATED_DD",NA,"riparian zone and vegetation: count of ground inundation values in the drawdown zone"
"phabmet","RVNGNDINUNDATED_RIP",NA,"riparian zone and vegetation: count of ground inundation values in the riparian zone"
"phabmet","RVNGNDINUNDATED_SYN",NA,"riparian zone and vegetation: count of ground inundation values synthesizing the 2007 protocol"
"phabmet","RVNGNDNONW",NA,"riparian zone and vegetation: count of nonwoody ground cover values"
"phabmet","RVNGNDNONW_DD",NA,"riparian zone and vegetation: count of nonwoody ground cover values in the drawdown zone"
"phabmet","RVNGNDNONW_RIP",NA,"riparian zone and vegetation: count of nonwoody ground cover values in the riparian zone"
"phabmet","RVNGNDNONW_SYN",NA,"riparian zone and vegetation: count of nonwoody ground cover values synthesizing the 2007 protocol"
"phabmet","RVNGNDWOODY",NA,"riparian zone and vegetation: count of woody ground cover values"
"phabmet","RVNGNDWOODY_DD",NA,"riparian zone and vegetation: count of woody ground cover values in the drawdown zone"
"phabmet","RVNGNDWOODY_RIP",NA,"riparian zone and vegetation: count of woody ground cover values in the riparian zone"
"phabmet","RVNGNDWOODY_SYN",NA,"riparian zone and vegetation: count of woody ground cover values synthesizing the 2007 protocol"
"phabmet","RVNUNDERSTORY",NA,"riparian zone and vegetation: number of understory type data"
"phabmet","RVNUNDERSTORY_DD",NA,"riparian zone and vegetation: number of understory type data in the drawdown zone"
"phabmet","RVNUNDERSTORY_RIP",NA,"riparian zone and vegetation: number of understory type data in the riparian zone"
"phabmet","RVNUNDNONW",NA,"riparian zone and vegetation: count of values of understory nonwoody cover"
"phabmet","RVNUNDNONW_DD",NA,"riparian zone and vegetation: count of values of understory nonwoody cover in the drawdown zone"
"phabmet","RVNUNDNONW_RIP",NA,"riparian zone and vegetation: count of values of understory nonwoody cover in the riparian zone"
"phabmet","RVNUNDNONW_SYN",NA,"riparian zone and vegetation: count of values of understory nonwoody cover synthesizing the 2007 protocol"
"phabmet","RVNUNDWOODY",NA,"riparian zone and vegetation: count of values of understory nonwoody cover"
"phabmet","RVNUNDWOODY_DD",NA,"riparian zone and vegetation: count of values of understory nonwoody cover in the drawdown zone"
"phabmet","RVNUNDWOODY_RIP",NA,"riparian zone and vegetation: count of values of understory nonwoody cover in the riparian zone"
"phabmet","RVNUNDWOODY_SYN",NA,"riparian zone and vegetation: count of values of understory nonwoody cover synthesizing the 2007 protocol"
"phabmet","RVVCANBIG",NA,"riparian zone and vegetation: stdev of canopy cover by trees &gt; 30 cm dbh"
"phabmet","RVVCANBIG_DD",NA,"riparian zone and vegetation: stdev of canopy cover by trees &gt; 30 cm dbh in the drawdown zone"
"phabmet","RVVCANBIG_RIP",NA,"riparian zone and vegetation: stdev of canopy cover by trees &gt; 30 cm dbh in the riparian zone"
"phabmet","RVVCANBIG_SYN",NA,"riparian zone and vegetation: stdev of canopy cover by trees &gt; 30 cm dbh synthesizing the 2007 protocol"
"phabmet","RVVCANSMALL",NA,"riparian zone and vegetation: stdev of canopy cover by trees &lt; 30 cm dbh"
"phabmet","RVVCANSMALL_DD",NA,"riparian zone and vegetation: stdev of canopy cover by trees &lt; 30 cm dbh in the drawdown zone"
"phabmet","RVVCANSMALL_RIP",NA,"riparian zone and vegetation: stdev of canopy cover by trees &lt; 30 cm dbh in the riparian zone"
"phabmet","RVVCANSMALL_SYN",NA,"riparian zone and vegetation: stdev of canopy cover by trees &lt; 30 cm dbh synthesizing the 2007 protocol"
"phabmet","RVVGNDBARE",NA,"riparian zone and vegetation: stdev of ground lacking cover"
"phabmet","RVVGNDBARE_DD",NA,"riparian zone and vegetation: stdev of ground lacking cover in the drawdown zone"
"phabmet","RVVGNDBARE_RIP",NA,"riparian zone and vegetation: stdev of ground lacking cover in the riparian zone"
"phabmet","RVVGNDBARE_SYN",NA,"riparian zone and vegetation: stdev of ground lacking cover synthesizing the 2007 protocol"
"phabmet","RVVGNDINUNDATED",NA,"riparian zone and vegetation: stdev of inundated ground cover"
"phabmet","RVVGNDINUNDATED_DD",NA,"riparian zone and vegetation: stdev of inundated ground cover in the drawdown zone"
"phabmet","RVVGNDINUNDATED_RIP",NA,"riparian zone and vegetation: stdev of inundated ground cover in the riparian zone"
"phabmet","RVVGNDINUNDATED_SYN",NA,"riparian zone and vegetation: stdev of inundated ground cover synthesizing the 2007 protocol"
"phabmet","RVVGNDNONW",NA,"riparian zone and vegetation: stdev of nonwoody ground cover"
"phabmet","RVVGNDNONW_DD",NA,"riparian zone and vegetation: stdev of nonwoody ground cover in the drawdown zone"
"phabmet","RVVGNDNONW_RIP",NA,"riparian zone and vegetation: stdev of nonwoody ground cover in the riparian zone"
"phabmet","RVVGNDNONW_SYN",NA,"riparian zone and vegetation: stdev of nonwoody ground cover synthesizing the 2007 protocol"
"phabmet","RVVGNDWOODY",NA,"riparian zone and vegetation: stdev of woody ground cover"
"phabmet","RVVGNDWOODY_DD",NA,"riparian zone and vegetation: stdev of woody ground cover in the drawdown zone"
"phabmet","RVVGNDWOODY_RIP",NA,"riparian zone and vegetation: stdev of woody ground cover in the riparian zone"
"phabmet","RVVGNDWOODY_SYN",NA,"riparian zone and vegetation: stdev of woody ground cover synthesizing the 2007 protocol"
"phabmet","RVVUNDNONW",NA,"riparian zone and vegetation: stdev of understory cover by nonwoody vegetation"
"phabmet","RVVUNDNONW_DD",NA,"riparian zone and vegetation: stdev of understory cover by nonwoody vegetation in the drawdown zone"
"phabmet","RVVUNDNONW_RIP",NA,"riparian zone and vegetation: stdev of understory cover by nonwoody vegetation in the riparian zone"
"phabmet","RVVUNDNONW_SYN",NA,"riparian zone and vegetation: stdev of understory cover by nonwoody vegetation synthesizing the 2007 protocol"
"phabmet","RVVUNDWOODY",NA,"riparian zone and vegetation: stdev of understory cover by nonwoody vegetation"
"phabmet","RVVUNDWOODY_DD",NA,"riparian zone and vegetation: stdev of understory cover by nonwoody vegetation in the drawdown zone"
"phabmet","RVVUNDWOODY_RIP",NA,"riparian zone and vegetation: stdev of understory cover by nonwoody vegetation in the riparian zone"
"phabmet","RVVUNDWOODY_SYN",NA,"riparian zone and vegetation: stdev of understory cover by nonwoody vegetation synthesizing the 2007 protocol"
"phabmet","SIFPISLAND",NA,"station information: fractional presence of stations at an island"
"phabmet","SINDEPTH",NA,"station information: count of station depth"
"phabmet","SIVDEPTH",NA,"station information: std dev station depth"
"phabmet","SIXDEPTH",NA,"station information: mean station depth"
"phabmet","SS16LDIA",NA,"shoreline substrate: 16th percentile of bottom substrate diameter"
"phabmet","SS25LDIA",NA,"shoreline substrate: 25th percentile of bottom substrate diameter"
"phabmet","SS50LDIA",NA,"shoreline substrate: 50th percentile of bottom substrate diameter"
"phabmet","SS75LDIA",NA,"shoreline substrate: 75th percentile of bottom substrate diameter"
"phabmet","SS84LDIA",NA,"shoreline substrate: 84th percentile of bottom substrate diameter"
"phabmet","SSFCBEDROCK",NA,"shoreline substrate: fractional cover of bedrock"
"phabmet","SSFCBOULDERS",NA,"shoreline substrate: fractional cover of Boulder"
"phabmet","SSFCCOBBLE",NA,"shoreline substrate: fractional cover of Cobble"
"phabmet","SSFCGRAVEL",NA,"shoreline substrate: fractional cover of gravel"
"phabmet","SSFCORGANIC",NA,"shoreline substrate: fractional cover of organic"
"phabmet","SSFCOTHER",NA,"shoreline substrate: fractional cover of other substrate"
"phabmet","SSFCSAND",NA,"shoreline substrate: fractional cover of sand"
"phabmet","SSFCSILT",NA,"shoreline substrate: fractional cover of silt"
"phabmet","SSFCWOOD",NA,"shoreline substrate: fractional cover of wood"
"phabmet","SSFPBEDROCK",NA,"shoreline substrate: fractional presence of bedrock"
"phabmet","SSFPBOULDERS",NA,"shoreline substrate: fractional presence of Boulder"
"phabmet","SSFPCOBBLE",NA,"shoreline substrate: fractional presence of Cobble"
"phabmet","SSFPGRAVEL",NA,"shoreline substrate: fractional presence of gravel"
"phabmet","SSFPORGANIC",NA,"shoreline substrate: fractional presence of organic"
"phabmet","SSFPOTHER",NA,"shoreline substrate: fractional presence of other substrate"
"phabmet","SSFPSAND",NA,"shoreline substrate: fractional presence of sand"
"phabmet","SSFPSILT",NA,"shoreline substrate: fractional presence of silt"
"phabmet","SSFPWOOD",NA,"shoreline substrate: fractional presence of wood"
"phabmet","SSISITEVARIETY",NA,"shoreline substrate: Number of substrate classes present at a site"
"phabmet","SSISTAVARIETY",NA,"shoreline substrate: Mean number of substrate classes present in each station"
"phabmet","SSNBEDROCK",NA,"shoreline substrate: number of stations with bedrock data"
"phabmet","SSNBOULDERS",NA,"shoreline substrate: number of stations with boulder data"
"phabmet","SSNCOBBLE",NA,"shoreline substrate: number of stations with cobble data"
"phabmet","SSNGRAVEL",NA,"shoreline substrate: number of stations with gravel data"
"phabmet","SSNORGANIC",NA,"shoreline substrate: number of stations with organic data"
"phabmet","SSNOTHER",NA,"shoreline substrate: number of stations with other substrate data"
"phabmet","SSNSAND",NA,"shoreline substrate: number of stations with sand data"
"phabmet","SSNSILT",NA,"shoreline substrate: number of stations with silt data"
"phabmet","SSNWOOD",NA,"shoreline substrate: number of stations with wood data"
"phabmet","SSOFCLASS",NA,"shoreline substrate: Mode of bottom substrate by cover"
"phabmet","SSOPCLASS",NA,"shoreline substrate: Mode of bottom substrate by presence"
"phabmet","SSVBEDROCK",NA,"shoreline substrate: std dev. Cover of bedrock"
"phabmet","SSVBOULDERS",NA,"shoreline substrate: std dev. Cover of boulder"
"phabmet","SSVCOBBLE",NA,"shoreline substrate: std dev. Cover of cobble"
"phabmet","SSVGRAVEL",NA,"shoreline substrate: std dev. Cover of gravel"
"phabmet","SSVLDIA",NA,"shoreline substrate: std dev. logged bottom substrate diameter (mineral)"
"phabmet","SSVORGANIC",NA,"shoreline substrate: std dev. Cover of organic"
"phabmet","SSVOTHER",NA,"shoreline substrate: std dev. Cover of Other substrate"
"phabmet","SSVSAND",NA,"shoreline substrate: std dev. Cover of sand"
"phabmet","SSVSILT",NA,"shoreline substrate: std dev. Cover of silt"
"phabmet","SSVWOOD",NA,"shoreline substrate: std dev. Cover of wood"
"phabmet","SSXLDIA",NA,"shoreline substrate: mean logged bottom substrate diameter (mineral)"
"phabmet","VERTDD","m","Vertical drawdown distance"
"phabmet","AGGR_ECO3_2015",NA,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"phabmet","AGGR_ECO9_2015",NA,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"phabmet","STATE",NA,"State lake is assigned to for sampling in NLA 2012"
"phabmet","DATE_COL",NA,"Date of sample collection"
"phabmet","SITE_ID",NA,"Identification code for site"
"phabmet","VISIT_NO",NA,"Sequential number of visit to site"
"phabmet","UID",NA,"Unique identifier for sampling event"
"phabmet","ECO_BIO",NA,"Bioregions"
"phabmet","PUBLICATION_DATE",NA,"Publication Date"
"profile","DEPTH","m","Depth at collection point"
"profile","DEPTH","m","Depth at collection point"
"profile","ODOR",NA,"Odor present"
"profile","ODOR",NA,"Odor present"
"profile","CAL_INST_ID",NA,"ID of calibration instrument"
"profile","CAL_INST_MODEL",NA,"Calibration instrument model"
"profile","CAL_INST_OPERATOR",NA,"Name of calibration instrument operator"
"profile","CALIBRATION_VERIFIED",NA,"Calibration verified"
"profile","CON_STD1_VALUE",NA,"Conductivity standard 1 value"
"profile","COND_QCS_DESC",NA,"Conductivity quality control sample description"
"profile","COND_QCS_MEASURED","uS/cm","Measurement for conductivity quality control sample"
"profile","COND_QCS_TRUE","uS/cm","True for conductivity quality control sample"
"profile","COND_STD1_DESC",NA,"Conductivity standard 1 description"
"profile","COND_STD1_VALUE",NA,"Conductivity standard 1 value"
"profile","COND_STD2_DESC",NA,"Conductivity standard 2 description"
"profile","COND_STD2_VALUE",NA,"Conductivity standard 2 value"
"profile","DO_BARO_PRESSURE","mm Hg","Barometric pressure for DO reading"
"profile","DO_CALIBRATION_UNITS",NA,"Units for DO Calibration"
"profile","DO_CALIBRATION_VALUE",NA,"DO Calibration value"
"profile","DO_DISPLAYED_UNITS",NA,"DO displayed units"
"profile","DO_DISPLAYED_VALUE",NA,"DO displayed value"
"profile","DO_ELEVATION","mm Hg","Elevation for DO reading"
"profile","DUPLICATE_DO",NA,"Duplicate DO reading taken"
"profile","PH_QCS_DESC",NA,"PH quality control sample description"
"profile","PH_QCS_MEASURED",NA,"Measurement for PH quality control sample"
"profile","PH_QCS_TRUE",NA,"True for PH quality control sample"
"profile","PH_STD1_DESC",NA,"PH standard 1 description"
"profile","PH_STD1_VALUE",NA,"PH standard 1 value"
"profile","PH_STD2_DESC",NA,"PH standard 2 description"
"profile","PH_STD2_VALUE",NA,"PH standard 2 value"
"profile","TEMP_SENSOR","c","Sensor reading"
"profile","TEMP_THERMOMETER","c","Thermometer reading"
"profile","DEPTH","m","Depth at collection point"
"profile","ODOR",NA,"Odor present"
"profile","ARRIVAL_TIME","datetime","Time of arrival to index site"
"profile","CALIBRATION_VERIFIED",NA,"Calibration verified"
"profile","CONDUCTIVITY","uS/cm","Conductivity for index profile"
"profile","DEPTH","m","Depth at collection point"
"profile","DEPTH_METHOD",NA,"Method for depth measurements"
"profile","DO2_2M","mg/L","Dissolved oxygen averaged over the top 2 m of water"
"profile","DUPLICATE_DO",NA,"Duplicate DO reading taken"
"profile","E_FILE",NA,"Profile data submitted via external file"
"profile","INDEX_GPS_FIX",NA,"Type of GPS at the index site (2D, 3D)"
"profile","INDEX_LAT_DD","dd","Lattitude in decimal degrees at index site"
"profile","INDEX_LON_DD","dd","Longitude in decimal degrees at index site"
"profile","INDEX_SITE_DEPTH","m","Depth at the index site"
"profile","METALIMNION",NA,"Depth indicated for (T)op and (B)ottom of the metalimnion"
"profile","ODOR",NA,"Odor present"
"profile","OXYGEN","mg/L","Oxygen for index profile"
"profile","PH",NA,"PH for index profile"
"profile","PRECIPITATION",NA,"Precipitation at index site"
"profile","SCUM",NA,"Scum present"
"profile","SCUM_DESC",NA,"Description of scum"
"profile","SURFACE_COND",NA,"Lake surface conditions"
"profile","TEMP_CORRECTED",NA,"Conductivity temperature corrected"
"profile","TEMPERATURE","c","Temperature for index profile"
"profile","STATE",NA,"State lake is assigned to for sampling in NLA 2012"
"profile","INDEX_LAT_DD","dd","Lattitude in decimal degrees at index site"
"profile","INDEX_LON_DD","dd","Longitude in decimal degrees at index site"
"profile","DATE_COL",NA,"Date of sample collection"
"profile","SITE_ID",NA,"Identification code for site"
"profile","VISIT_NO",NA,"Sequential number of visit to site"
"profile","UID",NA,"Unique identifier for sampling event"
"profile","SAMPLE_TYPE",NA,"Sample type"
"profile","PUBLICATION_DATE",NA,"Publication Date"
"profile","LINE",NA,"Line"
"siteinfo","IM_COMMENT",NA,"Explanation of IM_FLAG or comment assigned during QA review"
"siteinfo","INDEX_NLA",NA,"Index visit for lake (used in population estimates).  For sites visited, VISIT_NO=1 is designated as the index visit (even if no samples were collected).  Blank= not assigned (sites not evaluated or not needed). Y=Index visit, N=Not index visit"
"siteinfo","INDXSAMP_BENT",NA,"Index sample for benthic macroinvertebrates"
"siteinfo","INDXSAMP_CHEM",NA,"Index sample for water chemistry"
"siteinfo","INDXSAMP_CHLA",NA,"Index sample for Chlorophyll a"
"siteinfo","INDXSAMP_CORE",NA,"Index sample for sediment core"
"siteinfo","INDXSAMP_ENTE",NA,"Index sample for enterococci"
"siteinfo","INDXSAMP_MICR",NA,"Index sample for microcystin"
"siteinfo","INDXSAMP_PHAB",NA,"Index sample for physical habitat"
"siteinfo","INDXSAMP_SDHG",NA,"Index sample for sediment mercury"
"siteinfo","INDXSAMP_ZOOP",NA,"Index sample for zooplankton"
"siteinfo","REF_NLA12_NUTR",NA,"Disturbance category for nutrients for NLA 2012"
"siteinfo","RT_NLA12_BENT",NA,"Disturbance category for benthic macroinvertebrates for NLA 2012"
"siteinfo","RT_NLA12_ZOOP",NA,"Disturbance category for zooplankton for NLA 2012"
"siteinfo","SAMPLED_BENT",NA,"Benthic sample collected?"
"siteinfo","SAMPLED_CORE",NA,"Sediment core sampled?"
"siteinfo","SAMPLED_ENTE",NA,"Enterococci sample collected?"
"siteinfo","SAMPLED_MICR",NA,"Microcystin sample collected?"
"siteinfo","SAMPLED_PHAB",NA,"Physical habitat sampled?"
"siteinfo","SAMPLED_PHYT",NA,"Phytoplankton sample collected?"
"siteinfo","SAMPLED_PROFILE",NA,"Profile data collected?"
"siteinfo","SAMPLED_SDHG",NA,"Sediment mercury collected?"
"siteinfo","SAMPLED_ZOCN",NA,"Coarse net zooplankton sample collected?"
"siteinfo","SAMPLED_ZOCR",NA,"Coarse-mesh zooplankton sample collected (using NLA 2007 method)"
"siteinfo","SAMPLED_ZOFN",NA,"Fine net zooplankton sample collected?"
"siteinfo","SAMPLED_ZOFR",NA,"Fine-mesh zooplankton sample collected (using NLA 2007 method)"
"siteinfo","SAMPLED_ZOOP",NA,"Zooplankton sample collected?"
"siteinfo","AGGR_ECO3_2015",NA,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"siteinfo","AGGR_ECO9_2015",NA,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"siteinfo","AREA_HA",NA,"Surface area of lake based on NHD polygon"
"siteinfo","BORD_LAKE",NA,"State border lake = Yes; state non-border lake = No"
"siteinfo","CAT_UNIQUE",NA,"Identifies the unique NLA survey design groups that require separate weight adjustments"
"siteinfo","CH0712_CAT",NA,"Unequal probability category used in change analysis for 2007-2012"
"siteinfo","CH0712_USE",NA,"Include SITE_ID in change analysis for 2007-2012"
"siteinfo","CH0712_WGT",NA,"Site weight for 2007-2012 change analysis"
"siteinfo","CNTYNAME",NA,"County name"
"siteinfo","COMID2007",NA,"NHD COMID from NLA 2007 sample frame (primary)"
"siteinfo","COMID2012",NA,"NHD common identifier for NLA 2012 sampling frame"
"siteinfo","COMIDS2007",NA,"NHD COMIDs from NLA 2007 sample frame when multiple polygons from 2007 sample frame were combined for 2012 sample frame"
"siteinfo","DES_FTYPE",NA,"NLA design feature type (based on NHD feature type)"
"siteinfo","DSGN12",NA,"Is lake included in the NLA 2012 integrated design? Included= included in NLA 2012 integrated National/State design; Excluded=Not included. These are hand-selected lakes and additional lakes selected in Oklahoma that will be sampled after 2012."
"siteinfo","ELEVATION",NA,"Elevation at lake coordinates (LAT_DD_N83, LON_DD_N83) from NHD Digital Elevation Map layer"
"siteinfo","EPA_REG",NA,"EPA Region"
"siteinfo","FEOW_ID",NA,"Freshwater Ecoregions of the World (2015)"
"siteinfo","FS_EW",NA,"Eastern or western US Forest Service land"
"siteinfo","FW_ECO3",NA,"Original NARS 3-level reporting region, based on aggregating WSA9 reporting regions: EHIGH=Eastern Highlands (NAP, SAP); PLNLOW=Plains and Lowlands (CPL, NPL, SPL, TPL, UMW); WMTNS=Western Mountains and Xeric (WMT, XER)."
"siteinfo","FW_ECO9",NA,"Original NARS 9-level reporting region, based on aggregated Omernik Level III ecoregions: CPL=Coastal Plains; NAP=Northern Appalachians; NPL=Northern Plains; SAP=Southern Appalachians; SPL=Southern Plains; TPL=Temperate Plains; UMW=Upper Midwest; WMT=Western Mountains; XER=Xeric West."
"siteinfo","GNIS_ID",NA,"Goegraphic Names Information System ID (from NHD)"
"siteinfo","GNIS_NAME",NA,"USGS Geographic Names Information System name"
"siteinfo","HUC2",NA,"USGS Level 2 Hydrologic Unit Code where lake is located"
"siteinfo","HUC8",NA,"USGS Level 8 Hydrologic Unit Code where lake is located"
"siteinfo","LAT_DD83",NA,"Latitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always, represents centriod of lake polygon in NHD."
"siteinfo","LON_DD83",NA,"Longitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always represents centriod of lake polygon in NHD."
"siteinfo","MAJ_BASIN",NA,"Major USGS Hydrologic Basins derived from NHDPlus"
"siteinfo","MDCATY",NA,"Categories used for unequal probability selection within a stratum. For value definitions, see survey-specific design documentation."
"siteinfo","MISS_BASIN",NA,"Within Mississippi basin, yes or no"
"siteinfo","NA_L1CODE",NA,"CEC North American Level I ecoregion code"
"siteinfo","NA_L2CODE",NA,"CEC North American Level II ecoregion code"
"siteinfo","NA_L3CODE",NA,"CEC North American Level III ecoregion code"
"siteinfo","NARS_NAME",NA,"Name assigned to lake for NLA. Based on LOC_NAME in tblVERIFICATION and GNIS_NAME in tblDESIGN"
"siteinfo","NES_LAKE",NA,"Was lake included in the 1970s National Eutrophication Survey?"
"siteinfo","NESLAKE_ID",NA,"NES Lake ID number"
"siteinfo","NESSTORET",NA,"STORET ID number assigned to NES lake (from NLA 2007)"
"siteinfo","OWN_TYPE",NA,"Federal Agency land ownership category based on most current spatial land records from federal agencies"
"siteinfo","OWNSHP",NA,"Land ownership derived from USGS fedlands shapefile (http://www.nationalatlas.gov/mld/fedlanp.html)"
"siteinfo","PANEL",NA,"Design panel. Identified base and oversample list of sites for both national and state-specific designs. For value definitions, see survey-specific design documentation."
"siteinfo","PERIM_KM",NA,"NHD lake polygon perimeter (kilometers)"
"siteinfo","RCHCODE",NA,"NHD Reach code assigned"
"siteinfo","SITEID_07",NA,"Site ID assigned in 2007 NLA"
"siteinfo","SITETYPE",NA,"Site type (Probability-based or hand-picked)"
"siteinfo","SIZE_CLASS",NA,"Lake area class"
"siteinfo","ST_DSGN",NA,"Is lake included in State-specific design? Included=Included in State-specific design; Excluded=Not included in State-specific design. For value definitions, see survey-specific design documentation."
"siteinfo","ST_MDCATY",NA,"Categories used for unequal probability selection within a stratum for NLA 2012 State-specific assessments. For value definitions, see survey-specific design documentation."
"siteinfo","ST_PANEL",NA,"Base and oversample design panels for state-specific designs. For value definitions, see survey-specific design documentation."
